Neighborhood,Street,Address1,Address2,Intersection,From,To,Permitee,Contractor,Permit,ProjectCategory,ConstructionNotes,WorkSchedule,ExpirationDate,EstimatedCompletionDate,RoadwayPlatesInUse,SidewalkPlatesInUse,Status,TrenchLength,ContactNumber,NumberofWorkZones,District
EAST BOSTON,BENNINGTON ST,1074,,,,,Vigil Electric,Galway Construction,EXCA-687517,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,Nov 15 2017 12:00AM,Nov 15 2017 12:00AM,,,FLUSH TO GRADE,,857-249-0688,1,09
EAST BOSTON,CHELSEA ST,601,,CURTIS ST,,,MWRA,National Grid,EXCA-664360,,NEW GAS SERVICE / FEENEY EXCAVATING & SHORING,Days & Weekends,Jun  1 2017 12:00AM,Jun  1 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,09
EAST BOSTON,FALCON ST,207,,,,,C McGue,C McGue,EXCA-709051,SERVICE,RELAY WATER LINE,Days & Weekends,May 30 2017 12:00AM,May 30 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,617-778-8775,1,09
EAST BOSTON,FAYWOOD ST,92,,,,,Boston Water & Sewer Commission,BWSC,EMER-701452,EMERGENCY,SEWER REPAIR,Days & Weekends,Jun  1 2017 12:00AM,Jun  1 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,09
EAST BOSTON,FRANKFORT ST,66,,,,,Keash Excavating Inc,Keash Excavating,EXCA-702651,,,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,09
EAST BOSTON,HORACE ST,62,,,,,Camdele Construction,Camdele Construction,EXCA-704278,SERVICE,"INSTALLATION OF NEW WATER, AND SEWER",Days & Weekends,Jun  1 2017 12:00AM,Jun  1 2017 12:00AM,2,1,PLATES PINNED & BERMED,,617-974-8010,1,09
EAST BOSTON,LEXINGTON ST,263,,,,,CJ Doherty,CJ Doherty,EXCA-712959,SERVICE,INSTALL FIRE PIPE,Days & Weekends,Jun 14 2017 12:00AM,Jun 14 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,781-395-5400,1,09
EAST BOSTON,MARION ST,247,,,,,LL EXCAVATION,LL Excavation,EXCA-658122,EMERGENCY,EMERGENCY SEWER REPAIR ON HOLD/AWAITING EXTENSION,Days & Weekends,Dec 16 2016 12:00AM,Jul 11 2017 12:00AM,,1,PLATES PINNED & BERMED,,617-407-1522,1,09
EAST BOSTON,MERIDIAN ST,,,,CENTRAL SQ SOUTH,CENTRAL SQ NORTH,Boston Public Works,McCourt Construction,EXCA-499062,RECONSTRUCTION,HIGHWAY AND PARK RECON / CENTRAL SQUARE,Days,Jul 11 2017 12:00AM,Jul 11 2017 12:00AM,0,0,ONGOING/SECTIONS TOPPED TO GRADE,,617-635-7576,1,09
EAST BOSTON,MERIDIAN ST,151,,,,,Advanced Water and Sewer,Advanced Water and Sewer,EXCA-658272,SERVICE,INTALL WATER AND FIREPIPE,Days & Weekends,Jun  6 2017 12:00AM,Jun  6 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,617-756-1600,1,09
EAST BOSTON,MERIDIAN ST,244,,,,,National Grid,National Grid,EMER-661175,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,May 18 2017 12:00AM,May 18 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,09
EAST BOSTON,MSGR AA JACOBEE RD,1,,,,,AA Will Corp,AA Will Corp,EXCA-663395,SERVICE,INSTALLATION OF CONDUIT/FENCING,Days & Weekends,Jun 18 2017 12:00AM,Jul 11 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,781-424-5615,1,09
EAST BOSTON,ORLEANS ST,59,91,,,,National Grid,Feeney Brothers Excavation,EXCA-667764,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Jul  1 2017 12:00AM,Jul  1 2017 12:00AM,,,NO START,507,877-304-1148,1,09
EAST BOSTON,PARIS ST,112,,,,,Cavalieri,Cavalieri,EXCA-716109,SERVICE,RESURFACING,Days & Weekends,Jun 23 2017 12:00AM,Jun 23 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,09
EAST BOSTON,PARIS ST,112,,,,,Cavalieri Const,Cavalieri Const,EXCA-716109,SERVICE,INSTALLATION OF WATER SEWER FIREPIPE,Days & Weekends,Jun 23 2017 12:00AM,Jun 23 2017 12:00AM,,,WORKING BEHIND FENCING,,,1,09
EAST BOSTON,PRINCETON ST,20,,,,,National Grid,National Grid,EMER-655767,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 11 2017 12:00AM,May 11 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,09
EAST BOSTON,SARATOGA ST,,,,,,Verizon,Verizon,EMER-692676,EMERGENCY,CABLE REPAIR,Days & Weekends,Jun  2 2017 12:00AM,Jun  2 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,09
EAST BOSTON,SARATOGA ST,685,,,,,A&J DEVELOPMENT,A&J DEVELOPMENT,EXCA-711670,SERVICE,INSTALL WATER AND SEWER,Days & Weekends,Jun 16 2017 12:00AM,Jun 16 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,09
EAST BOSTON,SUMNER ST,260,400,,,,National Grid,Feeney Brothers Excavation,EXCA-667756,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Jul  1 2017 12:00AM,Jul  1 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,1400,877-304-1148,1,09
EAST BOSTON,WALDEMAR AV,160,230,,,,Cavalieri Construction,Cavalieri Construction,EXCA-687391,SERVICE,INSTALLATION OR NEW WATER & SEWER,Days & Weekends,Jun 17 2017 12:00AM,Jun 17 2017 12:00AM,1,,PLATES PINNED & BERMED,,617-946-6472,1,09
EAST BOSTON,WALDEMAR AV,194,240,,,,Cavalieri Construction,Cavalieri Construction,EXCA-687390,,,Days & Weekends,Jun 10 2017 12:00AM,Jun 10 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,09
EAST BOSTON,WALDEMAR AV,214,232,,,,Cavalieri Construction,Cavalieri Construction,EXCA-687393,SERVICE,"INSTALLATION OF NEW WATER, SEWER, AND FIREPIPE",Days & Weekends,Jun 24 2017 12:00AM,Jun 24 2017 12:00AM,2,,PLATES PINNED & BERMED,,,1,09
HYDE PARK,ARBORFIELD RD,14,,,,,Boston Water & Sewer Commission,BWSC,EMER-701444,EMERGENCY,SEWER REPAIR,Days & Weekends,May 26 2017 12:00AM,May 26 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,08
HYDE PARK,CHITTICK ST,,,,,,Eversource Gas,Feeney Brothers,EXCA-705790,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Jun  6 2017 12:00AM,Jul  1 2017 12:00AM,11,,PLATES PINNED & BERMED,500,,1,08
HYDE PARK,GARFIELD AV,2,4,,,,Sean Farrell,Sean Farrell,EXCA-703892,SERVICE,INSTALL NEW WATER AND SEWER,Days & Weekends,May 17 2017 12:00AM,May 17 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,857-488-0673,1,08
HYDE PARK,HIGHLAND AV,75,,,,,Eversource Gas,Eversource Gas,EMER-661256,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 21 2017 12:00AM,May 21 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,08
HYDE PARK,HYDE PARK AV,1001,,,,,Eversource Electric,Eversource Electric,EMER-687215,EMERGENCY,SERVICE OUTAGE,Days & Weekends,Jun  8 2017 12:00AM,Jun  8 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,08
HYDE PARK,HYDE PARK AV,1295,,,,,Eversource Electric,Eversource Electric,EMER-679411,EMERGENCY,LEAK REPAIR,Days & Weekends,May 16 2017 12:00AM,May 16 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,339-987-8299,1,08
HYDE PARK,HYDE PARK AV,1605,,,,,G Greene Construction,G Greene Construction,EXCA-703010,SERVICE,SIDEWALK,Days & Weekends,May 14 2017 12:00AM,May 14 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,508-958-1450,1,08
HYDE PARK,HYDE PARK AV,945,,,,,Boston Water & Sewer Commission,C Naughton,EMER-701438,EMERGENCY SEWER REPAIR,SEWER REPAIR,Days & Weekends,May 25 2017 12:00AM,May 25 2017 12:00AM,,,,,617-989-7000,1,08
HYDE PARK,HYDE PARK AV,953,,,,,Boston Water & Sewer Commission,BWSC,EMER-701429,EMERGENCY,WATER LEAK,Days & Weekends,May 17 2017 12:00AM,May 17 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,08
HYDE PARK,MILTON AV,38,,,,,Eversource Gas,Feeney Brothers Excavation,EXCA-691115,SERVICE,INSTALL GAS MAIN,Days & Weekends,May 25 2017 12:00AM,May 25 2017 12:00AM,3,0,PLATES PINNED & BERMED,,800-592-2000,1,08
HYDE PARK,READVILLE ST,1,,,CHESTERFIELD,DAMON PL,Eversource Gas,Derry Excavation,EXCA-697472,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Jun 20 2017 12:00AM,Jun 20 2017 12:00AM,14,,PLATES PINNED & BERMED,,,1,08
HYDE PARK,RIVER ST,1295,,,,,Eversource Electric,Eversource Electric,EMER-679411,EMERGENCY,SERVICE OUTAGE,Days & Weekends,May 16 2017 12:00AM,May 16 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,08
HYDE PARK,RIVER ST,1580,,,,,Eversource Electric,Sheerin,EXCA-704712,SERVICE,INSTALLATION OF CONDUIT,Days & Weekends,Jun  6 2017 12:00AM,Jun  6 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,08
SOUTH DORCHESTER/MATTAPAN,ADAMS ST,458,499,,,,Crown Castle,Waveguide,EXCA-715193,SERVICE,INSTALL CONDUIT,Days & Weekends,Jun  9 2017 12:00AM,Jul  1 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,07
SOUTH DORCHESTER/MATTAPAN,ADAMS ST,496,,,,,National Grid,National Grid,EMER-665107,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,Jun 10 2017 12:00AM,Jun 10 2017 12:00AM,,,,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,ADAMS ST,565,,,,,National Grid,National Grid,EMER-661171,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 17 2017 12:00AM,May 17 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,ADAMS ST,626,,,,,Verizon,Parkside Utility Con,EXCA-708586,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,Jul 13 2017 12:00AM,Jul 13 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,07
SOUTH DORCHESTER/MATTAPAN,ADAMS ST,690,,,,,Verizon,Parkside Utility Con,EXCA-710987,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,Jul 12 2017 12:00AM,Jul 12 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,07
SOUTH DORCHESTER/MATTAPAN,ADAMS ST,760,,,,,Verizon,Parkside Utility Con,EXCA-687458,MAINTENANCE,REPAIR TELEPHONE CONDUIT,Days & Weekends,Jun  1 2017 12:00AM,Jun 20 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,07
SOUTH DORCHESTER/MATTAPAN,ASHMONT ST,397,,,,,Verizon,Parkside Utility Con,EXCA-716763,SERVICE,PLACE CONDUIT,Days & Weekends,Jul  3 2017 12:00AM,Jul  3 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,07
SOUTH DORCHESTER/MATTAPAN,BAILEY ST,88,,,,,Verizon,Parkside Utility Con,EXCA-705997,MAINTENANCE,REPAIR DUCT,Days & Weekends,Jul 13 2017 12:00AM,Jul 13 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,07
SOUTH DORCHESTER/MATTAPAN,BEAUMONT ST,11,,,,,National Grid,Feeney Bros Excavation,EXCA-689071,NEW CONDUIT AND/OR MAIN,RELAY GAS MAIN,Days & Weekends,Jul  7 2017 12:00AM,Jul 17 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,408,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,BLUE HILL AV,1143,,,,,National Grid,National Grid,EMER-668132,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Jun 10 2017 12:00AM,Jul  1 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,BLUE HILL AV,1158,,,,,National Grid,Feeney Brothers,EXCA-670332,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,Jun  1 2017 12:00AM,Jun  1 2017 12:00AM,1,,PLATES PINNED & BERMED,,,1,07
SOUTH DORCHESTER/MATTAPAN,BLUE HILL AV,1350,,,,,Eversource Electric,Riley,EXCA-714845,SERVICE,INSTALL CONDUIT,Days & Weekends,Jul  4 2017 12:00AM,Jul  4 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,07
SOUTH DORCHESTER/MATTAPAN,BLUE HILL AV,1357,,,,,National Grid,National Grid,EMER-668133,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Jun 10 2017 12:00AM,Jul  1 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,BLUE HILL AV,1672,,,,,National Grid,National Grid,EMER-661176,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,May 18 2017 12:00AM,May 18 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,BROWNING AV,25,,,,,National Grid,Bond Brothers Inc,EXCA-698669,SERVICE,RELAY GAS MAIN,Days & Weekends,Jun 22 2017 12:00AM,Jun 22 2017 12:00AM,,,,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,BURT ST,54,,,,,Boston Water & Sewer Commission,BWSC,EMER-701464,EMERGENCY,LEAK REPAIR,Days & Weekends,Jun  7 2017 12:00AM,Jun  7 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,07
SOUTH DORCHESTER/MATTAPAN,CAPEN ST,82,84,,,,Keash Excavating,Keash Excavating,EXCA-708507,EMERGENCY,EMERGENCY SEWER REPAIR,Days & Weekends,May 14 2017 12:00AM,May 14 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,617-293-5520,1,07
SOUTH DORCHESTER/MATTAPAN,CARRUTH ST,5,,,,,National Grid,Feeney Bros Excavation,EXCA-685568,NEW CONDUIT AND/OR MAIN,RELAY GAS MAIN,Days & Weekends,Jul  7 2017 12:00AM,Jul  7 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,911,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,CENTRE ST,232,,,,,M J Scully,M J Scully,EXCA-697649,SERVICE,INSTALLATION OF NEW DRAIN SERVICE,Days & Weekends,Jun 13 2017 12:00AM,Jun 13 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,508-989-9075,1,07
SOUTH DORCHESTER/MATTAPAN,CENTRE ST,232,,,,,M.J. Scully & Co,M.J. Scully & Co,EXCA-697649,SERVICE,NEW DRAIN SERVICE,Days & Weekends,Jun 13 2017 12:00AM,Jun 13 2017 12:00AM,,,NO START,,508-989-9075,1,07
SOUTH DORCHESTER/MATTAPAN,CENTRE ST,278,,,,,Verizon,Parkside Utility Con,EXCA-705973,MAINTENANCE,REPAIR DUCT,Days & Weekends,Jun 12 2017 12:00AM,Jun 12 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,07
SOUTH DORCHESTER/MATTAPAN,CENTRE ST,402,,,,,Verizon,Parkside Utility Con,EXCA-699085,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,Jul  5 2017 12:00AM,Jul  5 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,07
SOUTH DORCHESTER/MATTAPAN,COFFEY ST,49,,,,,Keash Excavating,Keash Excavating,EXCA-703078,SERVICE,"INSTALLATION OF WATER, SEWER, FIREPIPE",Days & Weekends,May 21 2017 12:00AM,May 21 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,857-231-1171,1,07
SOUTH DORCHESTER/MATTAPAN,CROFTLAND AV,8,,,,,Verizon,White Mountain Cable,EXCA-705975,MAINTENANCE,REPAIR DUCT,Days & Weekends,Jun 12 2017 12:00AM,Jun 12 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,07
SOUTH DORCHESTER/MATTAPAN,CUMMINS HWY,,,RIVER ST,,,National Grid,National Grid,EMER-661167,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,May 17 2017 12:00AM,May 17 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,CUMMINS HWY,,,RIVER ST,,,Verizon,Verizon,EMER-716927,EMERGENCY,CABLE FAILURE,Days & Weekends,Jun 13 2017 12:00AM,Jun 13 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,07
SOUTH DORCHESTER/MATTAPAN,CUMMINS HWY,,,RIVER ST,,,Verizon,Verizon,EMER-716941,EMERGENCY,CABLE FAILURE,Days & Weekends,Jun 11 2017 12:00AM,Jul  1 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,07
SOUTH DORCHESTER/MATTAPAN,DORCHESTER AV,1971,1977,,,,LM Heavy Civil,LM Heavy Civil,EXCA-582150,SERVICE,INSTALL WATER AND FIREPIPE,Days & Weekends,Jun 16 2017 12:00AM,Jul  1 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,781-248-5200,1,07
SOUTH DORCHESTER/MATTAPAN,DORCHESTER AV,2173,,,,,National Grid,National Grid,EMER-668137,,,Days & Weekends,Jun 15 2017 12:00AM,Jun 20 2017 12:00AM,2,,PLATES PINNED & BERMED,,,1,07
SOUTH DORCHESTER/MATTAPAN,EUCLID ST,5,,,,,Verizon,Parkside Utility Con,EXCA-705980,MAINTENANCE,REPAIR DUCT,Days & Weekends,Jun 12 2017 12:00AM,Jun 12 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,07
SOUTH DORCHESTER/MATTAPAN,EVELYN ST,41,,,,,National Grid,National Grid,EMER-665064,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 26 2017 12:00AM,May 26 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,FLINT ST,9,,,,,Eversource Electric,Botti,EXCA-710214,SERVICE,INSTALL CONDUIT,Days & Weekends,Jun 20 2017 12:00AM,Jun 20 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,07
SOUTH DORCHESTER/MATTAPAN,GALLIVAN BLVD,20,,,,,National Grid,National Grid,EMER-665059,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 25 2017 12:00AM,May 25 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,HANSBOROUGH ST,11,,,,,Boston Water & Sewer Commission,BWSC,EMER-701448,EMERGENCY,LEAK REPAIR,Days & Weekends,May 27 2017 12:00AM,May 27 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,07
SOUTH DORCHESTER/MATTAPAN,HARLEY ST,25,,,,,National Grid,Bond Brothers,EXCA-708281,SERVICE,NEW GAS SERVICE,Days & Weekends,Jun 14 2017 12:00AM,Jun 14 2017 12:00AM,,,,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,HARWOOD ST,39,,,,,Sean Farrell,Sean Farrell,EXCA-704742,SERVICE,SEWER REPAIR,Days & Weekends,May 17 2017 12:00AM,May 17 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,857-488-0673,1,07
SOUTH DORCHESTER/MATTAPAN,LITHGOW ST,19,,,,,National Grid,National Grid,EMER-661168,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 17 2017 12:00AM,May 17 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,LONSDALE ST,7,,,,,Verizon,Parkside Utility Con,EXCA-705983,MAINTENANCE,REPAIR DUCT,Days & Weekends,Jun 12 2017 12:00AM,Jun 12 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,07
SOUTH DORCHESTER/MATTAPAN,MALLET ST,12,,,,,Keash Excavating,Keash Excavating,EXCA-647005,SERVICE,INSTALL WATER AND SEWER,Days & Weekends,May 31 2017 12:00AM,May 31 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,07
SOUTH DORCHESTER/MATTAPAN,MANOR ST,14,,,,,National Grid,National Grid,EMER-665094,EMERGENCY,GRADE 1 GAS LEAK,Days & Weekends,Jun  8 2017 12:00AM,Jun  8 2017 12:00AM,,,,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,MARIPOSA ST,42,,,,,Eversource Gas,Eversource Gas,EMER-661257,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,May 25 2017 12:00AM,May 25 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,07
SOUTH DORCHESTER/MATTAPAN,MATHER ST,7,,,,,Verizon,Parkside Utility Con,EXCA-706002,MAINTENANCE,REPAIR DUCT,Days & Weekends,Jun 12 2017 12:00AM,Jun 12 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,07
SOUTH DORCHESTER/MATTAPAN,MELVILLE AV,110,,,,,Verizon,Parkside Utility Con,EXCA-706013,MAINTENANCE,REPAIR DUCT,Days & Weekends,Jun 12 2017 12:00AM,Jun 12 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,07
SOUTH DORCHESTER/MATTAPAN,MELVILLE AV,112,,,,,Verizon,Parkside Utility Con,EXCA-706012,MAINTENANCE,CONDUIT REPAIR,Days & Weekends,Jun 12 2017 12:00AM,Jun 12 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,07
SOUTH DORCHESTER/MATTAPAN,MELVILLE AV,114,,,,,Verizon,Parkside Utility Con,EXCA-706007,MAINTENANCE,REPAIR DUCT,Days & Weekends,Jun 12 2017 12:00AM,Jun 12 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,,1,07
SOUTH DORCHESTER/MATTAPAN,MESSINGER ST,89,171,,,,National Grid,Feeney Brothers Excavation,EXCA-689308,SERVICE,INSTALL GAS MAIN,Days & Weekends,Jul 13 2017 12:00AM,Jul 13 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,MILLET ST,107,,,,,Eversource Electric,Riley Brothers,EXCA-712209,SERVICE,SERVICE CUTOVER,Days & Weekends,Jun 28 2017 12:00AM,Jun 28 2017 12:00AM,,14,SIDEWALK PLATES BERMED,,800-592-2000,1,07
SOUTH DORCHESTER/MATTAPAN,MINOT ST,278,280,,,,National Grid,Feeney Bros Excavation,EXCA-685571,NEW CONDUIT AND/OR MAIN,RELAY GAS MAIN,Days & Weekends,Jul  7 2017 12:00AM,Jul  7 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,415,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,MINOT ST,49,53,,,,Verizon,Parkside Utility Con,EXCA-699786,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,Jul 13 2017 12:00AM,Jul 13 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,07
SOUTH DORCHESTER/MATTAPAN,MINOT ST,85,,,,,Verizon,Parkside Utility Con,EXCA-699784,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,Jul 13 2017 12:00AM,Jul 13 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,07
SOUTH DORCHESTER/MATTAPAN,NAHANT ST,8,,,,,Verizon,Parkside Utility Con,EXCA-707486,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,May 29 2017 12:00AM,May 29 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,978-866-0952,1,07
SOUTH DORCHESTER/MATTAPAN,NEPONSET AV,364,,,,,Eversource Electric,Riley Bros,EXCA-699430,SERVICE,"BREAK MANHOLE WALL, CONNECT SERVICE",Days & Weekends,May 23 2017 12:00AM,May 23 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,339-987-8289,1,07
SOUTH DORCHESTER/MATTAPAN,NEPONSET AV,364,366,,,,J Joyce Excavating,J Joyce Excavating,EXCA-703277,SERVICE,"INSTALLATION OF WATER, SEWER, FIREPIPE,",Days & Weekends,Jun 14 2017 12:00AM,Jul  1 2017 12:00AM,5,,PLATES PINNED & BERMED,,617-593-0973,1,07
SOUTH DORCHESTER/MATTAPAN,NEPONSET ST,193,,,,,Verizon,Parkside Utility Con,EXCA-708575,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,Jul 11 2017 12:00AM,Jul 11 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,07
SOUTH DORCHESTER/MATTAPAN,NORFOLK ST,278,,,,,National Grid,National Grid,EMER-665075,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Jun  1 2017 12:00AM,Jun  1 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
SOUTH DORCHESTER/MATTAPAN,NORFOLK ST,487,,,,,LVMJ,LVMJ,EXCA-711918,SERVICE,INSTALL WATER AND DRAIN,Days & Weekends,Jun 23 2017 12:00AM,Jun 23 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-719-3902,1,07
SOUTH DORCHESTER/MATTAPAN,NORWOOD ST,8,,,,,Verizon,Lynch Corp,EXCA-707478,MAINTENANCE,REPAIR CONDUIT,Days & Weekends,May 29 2017 12:00AM,May 29 2017 12:00AM,0,0,ONGOING SECTIONS TOPPED TO GRADE,,800-445-8946,1,07
SOUTH DORCHESTER/MATTAPAN,PARK ST,112,,,,,National Grid,National Grid,EXCA-705660,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,May 29 2017 12:00AM,May 29 2017 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1148,1,07
